Group,Author,uTime,Normal Time,HH:MM:SS,Text,Permalink,Likes
zoommemes,Vicky Cheng,1592867233,2020-06-22 23:07:13 PDT-0700,23:07:13,What do you call a college student waking up for online classes a ZOOMbie ,,1600
zoommemes,Diego Stine,1592867969,2020-06-22 23:19:29 PDT-0700,23:19:29,and thats on gaining that quarantine19 ,,9200
zoommemes,Jashley Nicole,1592867996,2020-06-22 23:19:56 PDT-0700,23:19:56,,,11000
zoommemes,Jesse Uwu,1593021999,2020-06-24 18:06:39 PDT-0700,18:06:39,,,3300
zoommemes,Holly Lawrenson Evans,1592798298,2020-06-22 03:58:18 PDT-0700,03:58:18,Sad reacs only,,2100
zoommemes,Eve Many-Flowers,1593237609,2020-06-27 06:00:09 PDT-0700,06:00:09,,,2800
zoommemes,Nick Ang,1593106985,2020-06-25 17:43:05 PDT-0700,17:43:05,The current situation of the raccoons in Sixth,,745
zoommemes,Arik Schneider,1592762198,2020-06-21 17:56:38 PDT-0700,17:56:38,following the news of the apparent alt tiktok scheme this morning,,5500
zoommemes,James Erickson,1593193985,2020-06-26 17:53:05 PDT-0700,17:53:05,When youre the last one to leave the breakout room,,1800
zoommemes,Adam Erickson,1592993971,2020-06-24 10:19:31 PDT-0700,10:19:31,,,7900
zoommemes,Srishti Sarkar,1593047480,2020-06-25 01:11:20 PDT-0700,01:11:20,Day 127 of quarantine Reconsidering career path,,2700
zoommemes,Michael J. Epstein,1593107037,2020-06-25 17:43:57 PDT-0700,17:43:57,As a senior<comma> this hits ever harder...,,11000
zoommemes,Veltson Bastien,1593106482,2020-06-25 17:34:42 PDT-0700,17:34:42,The new way to greet people,,1200
zoommemes,Amanda Morningstar,1593106494,2020-06-25 17:34:54 PDT-0700,17:34:54,A big finals mood,,793
zoommemes,Allison Ou,1593106850,2020-06-25 17:40:50 PDT-0700,17:40:50,Though I am out of college by a couple of years and just here for the quality memes<comma> I wanted to share with you all one of the PEAKS of my academic career,,3600
zoommemes,Shady Lawendy,1592904553,2020-06-23 09:29:13 PDT-0700,09:29:13,Math is applicable to real life<comma> they said,,1800
zoommemes,Kankshini Pabba,1593022399,2020-06-24 18:13:19 PDT-0700,18:13:19,,,2400
zoommemes,Aaron Ocken,1592762302,2020-06-21 17:58:22 PDT-0700,17:58:22,Autorotate go brrrr.,,11000
zoommemes,Saad Shah,1593107443,2020-06-25 17:50:43 PDT-0700,17:50:43,any of you planning on going to quarchella edit bruh deadass this took 2 months to get approved LOL,,324
zoommemes,Amelia Angelina,1593193951,2020-06-26 17:52:31 PDT-0700,17:52:31,Homemade bullshit,,2400
zoommemes,Memes,1593232468,2020-06-27 04:34:28 PDT-0700,04:34:28,Swiped my college ID while entering the kitchen today just to feel something. Edit now that I have everyones attention damn wtf go check out this performing arts series I founded called Literary Music Series. Much love. ,,10000
zoommemes,Justin Chiang,1593204460,2020-06-26 20:47:40 PDT-0700,20:47:40,Wow,,9000
zoommemes,Ahmad Afiq Adam,1592867168,2020-06-22 23:06:08 PDT-0700,23:06:08,,,166
zoommemes,Sagar Nandeshwar,1593106374,2020-06-25 17:32:54 PDT-0700,17:32:54,Zoom University reaccs only,,85
zoommemes,Gia Huy,1593237641,2020-06-27 06:00:41 PDT-0700,06:00:41,,,3100
zoommemes,James MacDonald,1593042707,2020-06-24 23:51:47 PDT-0700,23:51:47,,,2000
zoommemes,Emily Guo,1593022128,2020-06-24 18:08:48 PDT-0700,18:08:48,Where my Pokémon fans at<comma> can we get an F in the chat for sinnoh remakes,,712
zoommemes,Quinn Campagna,1593106427,2020-06-25 17:33:47 PDT-0700,17:33:47,sighs ,,142
zoommemes,Alina Joy,1592867669,2020-06-22 23:14:29 PDT-0700,23:14:29, Will,,1600
zoommemes,Arsh Gupta,1593107524,2020-06-25 17:52:04 PDT-0700,17:52:04,Experiencing a whole existential crisis of being ignored by the homies then realizing u been on mute for 20 minutes,,3400
zoommemes,Rishabh Verma,1593022224,2020-06-24 18:10:24 PDT-0700,18:10:24,,,10000
zoommemes,Lovish Madaan,1593106810,2020-06-25 17:40:10 PDT-0700,17:40:10,,,6300
zoommemes,Michael Powers,1593042951,2020-06-24 23:55:51 PDT-0700,23:55:51,,,3900
zoommemes,Ben Freedman,1593042921,2020-06-24 23:55:21 PDT-0700,23:55:21,When you and your housemates have too much time on your hands in iso... Credits to the OG video,,175
zoommemes,Natalie Vargas Nedvetsky,1593197957,2020-06-26 18:59:17 PDT-0700,18:59:17,,,1000
zoommemes,Rachel Wang,1592798453,2020-06-22 04:00:53 PDT-0700,04:00:53,Eels missing their daily dose of social interaction ,,5400
zoommemes,Alexandra,1592867468,2020-06-22 23:11:08 PDT-0700,23:11:08,,,12000
zoommemes,My Jesus Jam,1592766084,2020-06-21 19:01:24 PDT-0700,19:01:24,This is my life now,,2500
zoommemes,Flannery Gallagher,1592766006,2020-06-21 19:00:06 PDT-0700,19:00:06,To think that professors could stoop any lower,,22000
zoommemes,Lovepreet Singh Saini,1593047492,2020-06-25 01:11:32 PDT-0700,01:11:32,Come to class for Zoom<comma> stay for Piazza,,1000
zoommemes,Ivy Yu,1592867917,2020-06-22 23:18:37 PDT-0700,23:18:37,How to social distance 101,,658
zoommemes,Linda Silva Silva,1592867973,2020-06-22 23:19:33 PDT-0700,23:19:33,I guess fires arent a big deal these days,,2700
zoommemes,Andres Antonio,1592762190,2020-06-21 17:56:30 PDT-0700,17:56:30,still not downloading tiktok<comma> sorry,,3100
zoommemes,Judy Le,1593193998,2020-06-26 17:53:18 PDT-0700,17:53:18,A introverts dreams ,,2700
zoommemes,Rhiannon O'Berry,1593022065,2020-06-24 18:07:45 PDT-0700,18:07:45,hahahahHAHAHAHAHA....aw ,,580
zoommemes,Science Memes,1593042913,2020-06-24 23:55:13 PDT-0700,23:55:13,Thank you Mr. Google,,7300
zoommemes,Leo Yeung,1593146307,2020-06-26 04:38:27 PDT-0700,04:38:27,and thats on not knowing when to halve the recipe ,,1100
zoommemes,Angel Ramirez,1592904599,2020-06-23 09:29:59 PDT-0700,09:29:59,,,1700
zoommemes,Andrea Torres,1593197781,2020-06-26 18:56:21 PDT-0700,18:56:21,My quaroutine may not be the healthiest or most productive<comma> but I STAND BY the fact that I have NOT done anything weird with my hair.  Btw can we just appreciate how I came up with quaroutine,,1900
zoommemes,Akanksha Singh,1593023241,2020-06-24 18:27:21 PDT-0700,18:27:21,,,7100
